id,tree_dbh,health,tree_dbh,spc_common,problems,nta_name
4289,5,Good,5,ginkgo,TrunkOther,Washington Heights North
4310,6,Good,6,ginkgo,BranchOther,Washington Heights North
4313,17,Good,17,pin oak,"BranchLights,BranchOther",Washington Heights North
4314,6,Good,6,northern red oak,Stones,Washington Heights North
4315,6,Good,6,northern red oak,Stones,Washington Heights North
4316,11,Good,11,Japanese zelkova,"Stones,BranchLights",Washington Heights North
4317,6,Good,6,Japanese zelkova,Stones,Washington Heights North
4319,3,Good,3,northern red oak,Stones,Washington Heights North
4320,2,Fair,2,red maple,"RootOther,BranchOther",Washington Heights North
4321,11,Good,11,honeylocust,RootOther,Washington Heights North
4322,4,Poor,4,sweetgum,Stones,Washington Heights North
4656,6,Good,6,honeylocust,"MetalGrates,TrunkOther,BranchOther",East Harlem South
4657,6,Good,6,honeylocust,MetalGrates,East Harlem South
4658,4,Good,4,honeylocust,MetalGrates,East Harlem South
4659,4,Good,4,honeylocust,MetalGrates,East Harlem South
4660,5,Poor,5,honeylocust,"MetalGrates,TrunkOther,BranchOther",East Harlem South
4661,4,Good,4,honeylocust,"MetalGrates,BranchOther",East Harlem South
4663,5,Good,5,honeylocust,MetalGrates,East Harlem South
4664,6,Good,6,honeylocust,MetalGrates,East Harlem South
4665,5,Good,5,honeylocust,MetalGrates,East Harlem South
4669,4,Fair,4,American linden,Stones,East Harlem South
4670,4,Good,4,littleleaf linden,BranchOther,East Harlem South
4678,4,Good,4,pin oak,Stones,East Harlem South
4679,4,Good,4,pin oak,Stones,East Harlem South
4680,4,Fair,4,northern red oak,Stones,East Harlem South
4681,4,Good,4,pin oak,Stones,East Harlem South
4683,5,Fair,5,northern red oak,WiresRope,East Harlem South
4684,4,Fair,4,northern red oak,WiresRope,East Harlem South
4685,5,Fair,5,ginkgo,"Stones,RootOther,TrunkLights",East Harlem South
4686,12,Good,12,honeylocust,"Stones,WiresRope",East Harlem South
4687,3,Good,3,honeylocust,TrunkOther,East Harlem South
4689,11,Good,11,honeylocust,RootOther,East Harlem South
4691,5,Fair,5,Japanese zelkova,WiresRope,East Harlem South
4692,14,Good,14,honeylocust,Stones,East Harlem South
4693,13,Good,13,ginkgo,Stones,East Harlem South
4694,11,Fair,11,London planetree,Stones,East Harlem South
4695,15,Fair,15,London planetree,Stones,East Harlem South
4697,4,Fair,4,red maple,Stones,East Harlem South
4700,19,Good,19,London planetree,Stones,East Harlem South
4701,4,Good,4,littleleaf linden,"Stones,WiresRope",East Harlem South
4702,6,Good,6,littleleaf linden,Stones,East Harlem South
4703,6,Good,6,littleleaf linden,Stones,East Harlem South
4704,6,Good,6,littleleaf linden,RootOther,East Harlem South
4707,8,Fair,8,Sophora,RootOther,East Harlem South
4708,7,Fair,7,northern red oak,RootOther,East Harlem South
4728,4,Fair,4,Chinese elm,RootOther,East Harlem South
4731,4,Good,4,Chinese elm,"WiresRope,TrunkOther,BranchOther",East Harlem South
4733,3,Poor,3,northern red oak,BranchOther,East Harlem South
4734,6,Fair,6,Sophora,Stones,East Harlem South
4735,4,Poor,4,northern red oak,"Stones,TrunkOther,BranchOther",East Harlem South
4736,10,Good,10,honeylocust,WiresRope,Washington Heights North
4737,9,Good,9,honeylocust,"Stones,BranchOther",Washington Heights North
4738,10,Good,10,honeylocust,"Stones,WiresRope",Washington Heights North
4739,9,Fair,9,honeylocust,"RootOther,BranchOther",Washington Heights North
4740,5,Fair,5,honeylocust,"RootOther,BranchOther",Washington Heights North
4741,11,Fair,11,honeylocust,Stones,Washington Heights North
4745,20,Good,20,pin oak,"RootOther,TrunkOther",Washington Heights North
4746,17,Good,17,pin oak,RootOther,Washington Heights North
4747,21,Good,21,pin oak,"RootOther,BranchOther",Washington Heights North
4753,4,Good,4,Sophora,"Stones,RootOther",Washington Heights North
4754,6,Good,6,honeylocust,Stones,Washington Heights North
4755,5,Good,5,honeylocust,Stones,Washington Heights North
4756,5,Fair,5,honeylocust,Stones,Washington Heights North
4757,6,Fair,6,honeylocust,Stones,Washington Heights North
4758,4,Good,4,honeylocust,"Stones,RootOther",Washington Heights North
4759,5,Good,5,swamp white oak,Stones,Washington Heights North
4760,5,Fair,5,Japanese zelkova,Stones,Washington Heights North
